animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,rodentsize,leopardsize,,,
b'aardvark',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'false',b'false',b'true',,,
b'antelope',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'bass',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'bear',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'false',b'false',b'false',b'false',b'true',,,
b'boar',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'buffalo',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'dog',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'true',b'false',b'false',,,
b'carp',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0,b'true',b'true',b'true',b'false',b'false',,,
b'clownfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'guinea pig',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'false',b'true',b'false',b'true',b'false',,,
b'cheetah',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'chicken',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'true',b'true',b'false',b'false',,,
b'chub',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'false',b'false',,,
b'clam',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',0,b'false',b'false',b'false',b'true',b'false',,,
b'crab',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',4,b'false',b'false',b'false',b'true',b'false',,,
b'crayfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',,,
b'crow',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'deer',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'dogfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'true',b'false',b'false',,,
b'dolphin',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',0,b'true',b'false',b'true',b'false',b'true',,,
b'dove',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'true',b'false',b'false',b'false',,,
b'duck',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'elephant',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'flamingo',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'false',b'true',,,
b'flea',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',b'true',,
b'frog',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'false',4,b'false',b'false',b'false',b'true',b'false',,,
b'frog',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'true',b'false',4,b'false',b'false',b'false',b'true',b'false',,,
b'fruitbat',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'giraffe',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'human',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',2,b'false',b'true',b'false',b'false',b'true',,,
b'gnat',b'false',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6,b'false',b'false',b'false',b'false',b'false',,,
b'goat',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'true',b'false',b'false',,,
b'gorilla',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2,b'false',b'false',b'false',b'false',b'true',,,
b'seagull',b'false',b'true',b'true',b'false',b'true',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'true',b'false',b'false',,,
b'saltwater fish',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'hamster',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'false',b'true',b'false',,,
b'hare',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'true',b'false',,,
b'hawk',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'false',b'true',,,
b'herring',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'false',b'false',,,
b'honeybee',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'true',b'false',6,b'false',b'true',b'false',b'true',b'false',,,
b'housefly',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',,,
b'kiwi',b'false',b'true',b'true',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,b'true'
b'ladybird',b'false',b'false',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'true',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',,,
b'lark',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'false',b'false',,,
b'leopard',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'true',,,
b'lion',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'true',,,
b'lobster',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',,,
b'lynx',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'mink',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'mole',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'true',b'false',,,
b'mongoose',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'moth',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',,,
b'newt',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'true',b'false',,,
b'octopus',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',8,b'false',b'false',b'false',b'false',b'true',,,
b'opossum',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'true',b'false',,,
b'oryx',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'ostrich',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'false',b'true',,,
b'parakeet',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'true',b'false',b'true',b'false',,,
b'penguin',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'true',b'false',b'false',,,
b'pheasant',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'pike',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'true',b'false',b'false',,,
b'piranha',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'pitviper',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'false',0,b'true',b'false',b'false',b'true',b'false',,,
b'platypus',b'true',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'polecat',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'pony',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'true',b'false',b'false',,,
b'porpoise',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',0,b'true',b'false',b'true',b'false',b'false',,,
b'puma',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'pussycat',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'true',b'false',b'false',,,
b'raccoon',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'reindeer',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'false',b'false',b'true',,,
b'rhea',b'false',b'true',b'true',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'true',b'false',b'false',,,
b'scorpion',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',8,b'true',b'false',b'false',b'true',b'false',,,
b'seahorse',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'seal',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',0,b'false',b'false',b'false',b'false',b'true',,,
b'sealion',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',2,b'true',b'false',b'true',b'false',b'false',,,
b'seasnake',b'false',b'false',b'false',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'true',b'false',0,b'true',b'false',b'false',b'true',b'false',,,
b'seawasp',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'true',b'false',0,b'false',b'false',b'false',b'true',b'false',,,
b'skimmer',b'false',b'true',b'true',b'false',b'true',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'skua',b'false',b'true',b'true',b'false',b'true',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'slowworm',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',0,b'true',b'false',b'false',b'true',b'false',,,
b'slug',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',0,b'false',b'false',b'false',b'true',b'false',,,
b'sole',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'false',b'false',,,
b'sparrow',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'squirrel',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'starfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',5,b'false',b'false',b'false',b'true',b'false',,,
b'stingray',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'true',b'true',0,b'true',b'false',b'false',b'false',b'true',,,
b'swan',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'true',b'false',b'false',,,
b'termite',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',,,
b'toad',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'false',b'false',4,b'false',b'false',b'false',b'true',b'false',,,
b'tortoise',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'tuatara',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'true',b'false',,,
b'tuna',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'vampire',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'false',b'true',,,
b'vole',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'true',b'false',,,
b'vulture',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'true',b'false',b'false',,,
b'wallaby',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2,b'true',b'false',b'true',b'false',b'false',,,
b'wasp',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'true',b'false',6,b'false',b'false',b'false',b'true',b'false',,,
b'wolf',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'worm',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',0,b'false',b'false',b'false',b'true',b'false',,,
b'wren',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
